cell_type,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Macrophage/Mono,CTSB,53.52083,11.155918,0.0,0.0,0.9693732193732194,0.4269241266375546
Macrophage/Mono,CLEC7A,53.512676,12.62968,0.0,0.0,0.8760683760683761,0.023539847161572054
Macrophage/Mono,PLAUR,53.352413,13.973326,0.0,0.0,0.8774928774928775,0.03657205240174673
Macrophage/Mono,NPC2,53.255047,11.801329,0.0,0.0,0.9351851851851852,0.1550900655021834
Macrophage/Mono,FCGR2A,52.812912,13.584607,0.0,0.0,0.8589743589743589,0.0212882096069869
Macrophage/Mono,TGFBI,52.604855,13.153822,0.0,0.0,0.8774928774928775,0.046260917030567686
Macrophage/Mono,HCK,51.693195,13.305185,0.0,0.0,0.8418803418803419,0.013782751091703056
Macrophage/Mono,ITGAX,51.410686,9.074885,0.0,0.0,0.9109686609686609,0.10746451965065502
Macrophage/Mono,GPX1,51.245502,9.879789,0.0,0.0,0.9344729344729344,0.2632368995633188
Macrophage/Mono,CYBB,50.7219,9.755305,0.0,0.0,0.8760683760683761,0.09975436681222707
Macrophage/Mono,CSF1R,50.595123,12.866591,0.0,0.0,0.8247863247863247,0.01883187772925764
Macrophage/Mono,HLA-DRA,50.27387,10.724835,0.0,0.0,0.9736467236467237,0.5042985807860262
Macrophage/Mono,GLUL,49.867523,11.190441,0.0,0.0,0.8803418803418803,0.14321779475982532
Macrophage/Mono,PLXDC2,49.60093,12.71882,0.0,0.0,0.8048433048433048,0.01023471615720524
Macrophage/Mono,FTLP3,49.598225,5.7945123,0.0,0.0,0.9458689458689459,0.47236626637554585
Macrophage/Mono,IFNGR2,49.55283,9.8265915,0.0,0.0,0.8582621082621082,0.07819323144104803
NK,GNLY,25.722088,11.899722,6.6186328641031335e-146,3.024185728266004e-141,0.7593688362919132,0.15649713881566257
NK,NKG7,24.283619,8.672492,2.9203087917362375e-130,6.671737465600608e-126,0.960552268244576,0.5060117019224587
NK,KLRF1,23.473948,12.267407,7.529312528479139e-122,1.1467644935042294e-117,0.6173570019723866,0.009708737864077669
NK,PRF1,23.402372,7.4468007,4.042381683178492e-121,4.617612596694791e-117,0.8895463510848126,0.44910949656014915
NK,CTSW,23.386768,7.5169544,5.827218536634149e-121,5.3251453875177504e-117,0.8619329388560157,0.36539574358644633
NK,KLRD1,21.761757,7.5646377,5.3459417029238174e-105,4.071112804833251e-101,0.7593688362919132,0.23654600398636919
NK,GZMB,19.189177,7.541504,4.558030386510331e-82,2.975221777434715e-78,0.7455621301775148,0.3005850961229345
NK,SH2D1B,19.110954,9.233686,2.046926552289584e-81,1.169102100340196e-77,0.5108481262327417,0.016652735806596798
NK,TRDC,17.964323,7.88624,3.70776451573676e-72,1.8823908472560447e-68,0.5522682445759369,0.07439079277309844
NK,PLAC8,17.637613,6.211445,1.2669879473894672e-69,5.789121329211953e-66,0.6331360946745562,0.2131421590689899
NK,IL2RB,17.555609,4.918387,5.388534321561445e-69,2.238299183825323e-65,0.8382642998027613,0.49559570500868
NK,AOAH,16.222834,4.828007,3.477699764420171e-59,1.222331212583742e-55,0.7100591715976331,0.3461711566900276
NK,FCGR3A,15.918183,6.4512835,4.7394188237925485e-57,1.5468108921194936e-53,0.5128205128205128,0.11830515013180737
NK,SPON2,15.689618,5.981085,1.7812460355382603e-55,5.425912923720946e-52,0.4970414201183432,0.1262135922330097
